,createDt,deathCnt,decideCnt,seq,stateDt,stateTime,updateDt,accExamCnt
0,2023-02-10 04:22:09.0,33697,30325343,1159,20230210,00:00,2023-02-11 06:02:40.0,
1,2023-02-09 00:13:08.0,33680,30311839,1158,20230209,00:00,2023-02-11 06:03:21.0,
2,2023-02-08 00:10:49.0,33646,30297177,1157,20230208,00:00,2023-02-11 06:03:54.0,
3,2023-02-07 04:25:43.0,33624,30279250,1156,20230207,00:00,2023-02-11 06:04:17.0,
4,2023-02-06 04:20:35.0,33614,30263138,1155,20230206,00:00,2023-02-11 06:04:43.0,
5,2023-02-05 00:20:31.0,33596,30257291,1154,20230205,00:00,2023-02-11 06:05:08.0,
6,2023-02-04 00:08:43.0,33574,30243280,1153,20230204,00:00,2023-02-11 06:05:59.0,
7,2023-02-03 05:52:19.0,33552,30228769,1152,20230203,00:00,2023-02-04 00:09:18.0,
8,2023-02-02 04:52:36.0,33522,30213808,1151,20230202,00:00,2023-02-04 00:09:36.0,
9,2023-02-01 01:24:28.0,33486,30196952,1150,20230201,00:00,2023-02-04 00:10:06.0,
10,2023-01-31 00:02:09.0,33444,30176538,1149,20230131,00:00,2023-02-04 00:10:16.0,
11,2023-01-30 05:43:27.0,33420,30156921,1148,20230130,00:00,2023-02-04 00:10:26.0,
12,2023-01-29 04:38:06.0,33390,30149509,1147,20230129,00:00,2023-02-04 00:10:36.0,
13,2023-01-28 01:05:22.0,33361,30130645,1146,20230128,00:00,2023-02-04 00:10:46.0,
14,2023-01-27 00:05:32.0,33332,30107118,1145,20230127,00:00,2023-01-28 01:19:59.0,
15,2023-01-26 06:20:11.0,33296,30075407,1144,20230126,00:00,2023-01-28 01:19:51.0,
16,2023-01-25 00:10:12.0,33270,30040321,1143,20230125,00:00,2023-01-28 01:19:43.0,
17,2023-01-24 01:18:15.0,33245,30020794,1142,20230124,00:00,2023-01-28 01:19:32.0,
18,2023-01-23 07:51:22.0,33235,30008544,1141,20230123,00:00,2023-01-28 01:19:22.0,
19,2023-01-22 06:51:22.0,33209,29999327,1139,20230122,00:00,2023-01-28 01:19:10.0,
20,2023-01-21 04:48:22.0,33185,29982710,1138,20230121,00:00,2023-01-28 01:18:47.0,
21,2023-01-20 02:18:59.0,33134,29955251,1137,20230120,00:00,2023-01-20 22:47:03.0,
22,2023-01-18 06:08:27.0,33057,29898037,1135,20230118,00:00,2023-01-20 22:47:54.0,
23,2023-01-17 03:40:10.0,33014,29861141,1134,20230117,00:00,2023-01-20 22:48:45.0,
24,2023-01-16 01:37:44.0,32984,29820957,1133,20230116,00:00,2023-01-20 22:49:00.0,
25,2023-01-15 01:16:52.0,32949,29806827,1132,20230115,00:00,2023-01-20 22:49:14.0,
26,2023-01-14 06:11:49.0,32912,29774267,1130,20230114,00:00,2023-01-20 22:49:30.0,
27,2023-01-13 05:02:30.0,32867,29737622,1129,20230113,00:00,2023-01-14 05:58:24.0,
28,2023-01-12 06:06:08.0,32816,29697896,1128,20230112,00:00,2023-01-14 05:58:48.0,
29,2023-01-11 00:50:45.0,32745,29653947,1127,20230111,00:00,2023-01-14 06:03:40.0,
30,2023-01-10 06:14:46.0,32669,29599614,1126,20230110,00:00,2023-01-14 06:04:01.0,
31,2023-01-09 00:36:55.0,32625,29539590,1125,20230109,00:00,2023-01-14 06:04:17.0,
32,2023-01-08 01:51:35.0,32590,29520501,1124,20230108,00:00,2023-01-14 06:04:53.0,
33,2023-01-07 00:39:09.0,32556,29473758,1123,20230107,00:00,2023-01-14 06:05:12.0,
34,2023-01-06 06:24:14.0,32496,29420027,1122,20230106,00:00,2023-01-07 00:39:40.0,
35,2023-01-05 00:49:32.0,32421,29363073,1121,20230105,00:00,2023-01-07 00:39:59.0,
36,2023-01-04 01:33:14.0,32355,29298979,1120,20230104,00:00,2023-01-07 00:40:13.0,
37,2023-01-03 00:24:55.0,32301,29220425,1119,20230103,00:00,2023-01-07 00:40:32.0,
38,2023-01-02 07:00:12.0,32272,29139386,1118,20230102,00:00,2023-01-07 00:40:43.0,
39,2023-01-01 06:47:21.0,32219,29116662,1117,20230101,00:00,2023-01-07 00:40:55.0,
40,2022-12-31 04:11:36.0,32156,29059161,1116,20221231,00:00,2023-01-07 00:41:09.0,
41,2022-12-30 00:46:13.0,32095,28996169,1115,20221230,00:00,2022-12-31 04:11:58.0,
42,2022-12-29 01:53:10.0,32027,28930962,1114,20221229,00:00,2022-12-31 04:12:11.0,
